fecha;dia;acumTestPositivos;acumCasos;cantCTI;cantCI;cantFallecidos;acumFallecidos;cant CTI + fall;Altas CTI;cant CTI acumulados;casos positivos por día
13/03/2020;1;4;4;NA;NA;0;0;;;;4
14/03/2020;2;6;6;NA;NA;0;0;;;;2
15/03/2020;3;8;8;NA;NA;0;0;;;;2
16/03/2020;4;29;29;NA;NA;0;0;;;;21
17/03/2020;5;50;50;NA;NA;0;0;;;;21
18/03/2020;6;79;79;NA;NA;0;0;;;;29
19/03/2020;7;94;94;NA;NA;0;0;;;;15
20/03/2020;8;110;110;NA;NA;0;0;;;;16
21/03/2020;9;135;135;2;0;0;0;2;0;2;25
22/03/2020;10;158;158;NA;NA;0;0;2;0;2;23
23/03/2020;11;162;162;NA;NA;0;0;2;0;2;4
24/03/2020;12;189;189;NA;NA;0;0;2;0;2;27
25/03/2020;13;217;217;4;2;0;0;6;0;6;28
26/03/2020;14;238;238;4;2;0;0;6;0;6;21
27/03/2020;15;274;274;8;0;0;0;8;0;8;36
28/03/2020;16;304;304;8;5;1;1;14;0;14;30
29/03/2020;17;310;308;10;2;0;1;13;1;14;4
30/03/2020;18;320;316;11;1;0;1;13;0;14;8
31/03/2020;19;338;332;12;1;0;1;14;0;15;16
01/04/2020;20;350;342;15;0;1;2;17;0;18;10
02/04/2020;21;369;359;13;0;2;4;17;0;18;17
03/04/2020;22;386;382;13;1;0;4;18;0;19;23
04/04/2020;23;400;388;13;0;1;5;18;0;19;6
05/04/2020;24;406;392;14;1;1;6;21;0;22;4
06/04/2020;25;415;399;14;1;0;6;21;0;22;7
07/04/2020;26;424;406;14;4;1;7;24;0;26;7
08/04/2020;27;456;436;14;4;0;7;24;0;26;30
09/04/2020;28;473;451;13;4;0;7;23;1;26;15
10/04/2020;29;494;465;15;0;0;7;21;1;26;14
11/04/2020;30;501;472;16;1;0;7;24;0;28;7
12/04/2020;31;512;480;16;0;1;8;24;0;28;8
13/4/2020;32;521;483;15;0;0;8;23;1;28;3
14/4/2020;33;533;492;14;0;0;8;22;1;28;9
15/4/2020;34;539;493;13;0;1;9;22;0;28;1
16/4/2020;35;552;502;13;0;0;9;22;0;28;9
17/4/2020;36;570;508;12;0;0;9;21;1;29;6
18/4/2020;37;558;517;14;0;0;9;23;0;30;9
19/4/2020;38;592;528;13;0;1;10;23;0;30;11
20/4/2020;39;602;535;13;0;0;10;23;0;30;7
21/4/2020;40;613;543;10;0;2;12;22;0;30;8
22/4/2020;41;621;549;10;0;0;12;22;0;30;6
23/4/2020;42;630;557;10;0;0;12;22;0;30;8
24/4/2020;43;636;563;9;0;0;12;21;1;30;6
25/4/2020;44;682;596;9;0;2;14;23;0;32;33
26/4/2020;45;694;606;9;0;1;15;24;0;33;10
27/4/2020;46;696;620;11;0;0;15;26;0;35;14
28/4/2020;47;702;625;11;0;0;15;26;0;35;5
29/4/2020;48;720;630;11;0;0;15;26;0;35;5
30/4/2020;49;731;643;10;0;2;17;27;0;36;13
1/5/2020;50;736;648;10;0;0;17;27;0;36;5
2/5/2020;51;740;652;10;0;0;17;27;0;36;4
3/5/2020;52;747;655;10;0;0;17;27;0;36;3
4/5/2020;53;754;657;10;0;0;17;27;0;36;2
5/5/2020;54;767;670;10;0;0;17;27;0;36;13
6/5/2020;55;775;673;10;0;0;17;27;0;36;3
7/5/2020;56;801;684;9;0;0;17;26;1;36;11
8/5/2020;57;820;694;8;0;1;18;26;0;36;10
9/5/2020;58;824;702;8;0;0;18;26;0;36;8
10/5/2020;59;831;707;8;0;1;19;27;0;37;5
11/5/2020;60;836;711;8;0;0;19;27;0;37;4
12/5/2020;61;843;717;8;0;0;19;27;0;37;6
13/5/2020;62;852;719;8;0;0;19;27;0;37;2
14/5/2020;63;859;724;7;0;0;19;26;1;37;5
15/5/2020;64;863;732;7;0;0;19;26;0;37;8
16/5/2020;65;870;733;5;0;0;19;24;2;37;1
17/5/2020;66;884;734;4;0;1;20;24;2;37;1
18/5/2020;67;887;737;4;0;0;20;24;0;37;3
19/5/2020;68;888;738;4;0;0;20;24;0;37;1
20/5/2020;69;900;746;4;0;0;20;24;0;37;8
21/5/2020;70;909;749;5;0;0;20;25;0;38;3
22/5/2020;71;921;753;5;0;0;20;25;0;38;4
23/5/2020;72;935;764;5;0;2;22;27;0;40;11
24/5/2020;73;937;769;5;0;0;22;27;0;40;5
25/5/2020;74;956;787;5;0;0;22;27;0;40;18
26/5/2020;75;958;789;5;0;0;22;27;0;40;2
27/5/2020;76;972;803;5;0;0;22;27;0;40;14
28/5/2020;77;984;811;5;0;0;22;27;0;40;8
29/5/2020;78;991;816;6;0;0;22;28;0;41;5
30/5/2020;79;999;821;5;0;0;22;27;1;41;5
31/5/2020;80;1003;823;5;0;0;22;27;0;41;2
1/6/2020;81;1012;825;4;0;1;23;27;0;41;2
2/6/2020;82;1015;826;4;0;0;23;27;0;41;1
3/6/2020;83;1015;828;4;0;0;23;27;0;41;2
4/6/2020;84;1019;832;4;0;0;23;27;0;41;4
5/6/2020;85;1030;834;4;0;0;23;27;0;41;2
6/6/2020;86;1035;845;4;0;0;23;27;0;41;11
7/6/2020;87;1040;845;4;0;0;23;27;0;41;0
8/6/2020;88;1040;845;4;0;0;23;27;0;41;0
9/6/2020;88;1041;846;4;0;0;23;27;0;41;1
10/6/2020;88;1042;847;4;0;0;23;27;0;41;1
11/6/2020;88;1046;847;4;0;0;23;27;0;41;0
12/6/2020;88;1049;847;3;0;0;23;26;1;41;0
