fecha;municipio;microzona;poblacion;enCurso;enCurso (porcentaje depto);crecimiento;crecimiento (porcentaje casos anteriores);Prevalencia (casos activos por 100.000 hab)
06/12/20;AGUAS CORRIENTES;1;1956;NA;NA;NA;NA;NA
06/12/20;CANELONES;1;31030;16;4.68;NA;NA;51.56
06/12/20;LOS CERRILLOS;1;8733;NA;NA;NA;NA;NA
06/12/20;SANTA LUCÍA;1;20974;11;3.22;NA;NA;52.45
06/12/20;SAN ANTONIO;2;3716;NA;NA;NA;NA;NA
06/12/20;SAN BAUTISTA;2;4171;NA;NA;NA;NA;NA
06/12/20;SAN RAMÓN;2;9156;2;0.58;NA;NA;21.84
06/12/20;SANTA ROSA;2;7644;NA;NA;NA;NA;NA
06/12/20;SAUCE;2;14741;NA;NA;NA;NA;NA
06/12/20;MIGUES;3;4305;NA;NA;NA;NA;NA
06/12/20;MONTES;3;2086;NA;NA;NA;NA;NA
06/12/20;SAN JACINTO;3;7575;NA;NA;NA;NA;NA
06/12/20;TALA;3;10539;4;1.17;NA;NA;37.95
06/12/20;ATLÁNTIDA;4;11547;5;1.46;NA;NA;43.3
06/12/20;FLORESTA;4;9458;7;2.05;NA;NA;74.01
06/12/20;PARQUE DEL PLATA;4;12516;;0;NA;NA;0
06/12/20;SALINAS;4;26548;11;3.22;NA;NA;41.43
06/12/20;SOCA;4;4483;NA;NA;NA;NA;NA
06/12/20;CIUDAD DE LA COSTA;5;103355;52;15.2;NA;NA;50.31
06/12/20;COLONIA NICOLICH;5;16744;6;1.75;NA;NA;35.83
06/12/20;PASO CARRASCO;5;23598;4;1.17;NA;NA;16.95
06/12/20;BARROS BLANCOS;6;33814;4;1.17;NA;NA;11.83
06/12/20;EMPALME OLMOS;6;7507;3;0.88;NA;NA;39.96
06/12/20;PANDO;6;37281;3;0.88;NA;NA;8.05
06/12/20;SUÁREZ;6;20553;2;0.58;NA;NA;9.73
06/12/20;TOLEDO;6;21218;4;1.17;NA;NA;18.85
06/12/20;LA PAZ;7;22864;6;1.75;NA;NA;26.24
06/12/20;LAS PIEDRAS Y 18 DE MAYO;7;94665;95;27.78;NA;NA;100.35
06/12/20;PROGRESO;7;16182;11;3.22;NA;NA;67.98
13/12/20;AGUAS CORRIENTES;1;1956;2;0.38;2;NA;102.25
13/12/20;CANELONES;1;31030;33;6.19;17;106.25;106.35
13/12/20;LOS CERRILLOS;1;8733;4;0.75;4;NA;45.8
13/12/20;SANTA LUCÍA;1;20974;8;1.5;-3;-27.27;38.14
13/12/20;SAN ANTONIO;2;3716;2;0.38;2;NA;53.82
13/12/20;SAN BAUTISTA;2;4171;NA;NA;NA;NA;NA
13/12/20;SAN RAMÓN;2;9156;1;0.19;-1;-50;10.92
13/12/20;SANTA ROSA;2;7644;1;0.19;1;NA;13.08
13/12/20;SAUCE;2;14741;3;0.56;3;NA;20.35
13/12/20;MIGUES;3;4305;NA;NA;NA;NA;NA
13/12/20;MONTES;3;2086;NA;NA;NA;NA;NA
13/12/20;SAN JACINTO;3;7575;1;0.19;1;NA;13.2
13/12/20;TALA;3;10539;18;3.38;14;350;170.79
