fecha,p7_cada100k_nacional
06/05/2020,0.17
07/05/2020,0.17
08/05/2020,0.19
09/05/2020,0.2
10/05/2020,0.21
11/05/2020,0.22
12/05/2020,0.19
13/05/2020,0.19
14/05/2020,0.16
15/05/2020,0.15
16/05/2020,0.13
17/05/2020,0.11
18/05/2020,0.1
19/05/2020,0.09
20/05/2020,0.11
21/05/2020,0.1
22/05/2020,0.09
23/05/2020,0.13
24/05/2020,0.14
25/05/2020,0.2
26/05/2020,0.21
27/05/2020,0.23
28/05/2020,0.25
29/05/2020,0.26
30/05/2020,0.23
31/05/2020,0.22
01/06/2020,0.16
02/06/2020,0.15
03/06/2020,0.1
04/06/2020,0.09
05/06/2020,0.07
06/06/2020,0.1
07/06/2020,0.09
08/06/2020,0.08
09/06/2020,0.08
10/06/2020,0.08
11/06/2020,0.06
12/06/2020,0.05
13/06/2020,0.01
14/06/2020,0.01
15/06/2020,0.01
16/06/2020,0.01
17/06/2020,0
18/06/2020,0.01
19/06/2020,0.02
20/06/2020,0.05
21/06/2020,0.11
22/06/2020,0.14
23/06/2020,0.15
24/06/2020,0.22
25/06/2020,0.23
26/06/2020,0.27
27/06/2020,0.26
28/06/2020,0.22
29/06/2020,0.2
30/06/2020,0.21
01/07/2020,0.17
02/07/2020,0.16
03/07/2020,0.13
04/07/2020,0.13
05/07/2020,0.11
06/07/2020,0.11
07/07/2020,0.12
08/07/2020,0.13
09/07/2020,0.12
10/07/2020,0.13
11/07/2020,0.13
12/07/2020,0.13
13/07/2020,0.12
14/07/2020,0.13
15/07/2020,0.14
16/07/2020,0.2
17/07/2020,0.21
18/07/2020,0.24
19/07/2020,0.27
20/07/2020,0.31
21/07/2020,0.4
22/07/2020,0.44
23/07/2020,0.47
24/07/2020,0.52
25/07/2020,0.53
26/07/2020,0.56
27/07/2020,0.57
28/07/2020,0.51
29/07/2020,0.5
30/07/2020,0.43
31/07/2020,0.41
01/08/2020,0.44
02/08/2020,0.39
03/08/2020,0.38
04/08/2020,0.36
05/08/2020,0.33
06/08/2020,0.34
07/08/2020,0.28
