fecha,cantDeptosAfectados,Artigas(UY-AR),Canelones(UY-CA),Cerro Largo(UY-CL),Colonia(UY-CO),Durazno(UY-DU),Flores(UY-FS),Florida(UY-FD),Lavalleja(UY-LA),Maldonado(UY-MA),Montevideo(UY-MO),Paysandú(UY-PA),Río Negro(UY-RN),Rivera(UY-RV),Rocha(UY-RO),Salto(UY-SA),San José(UY-SJ),Soriano(UY-SO),Tacuarembó(UY-TA),Treinta y Tres(UY-TT),ActivosPais,Casos retornados
29/04/2020,8,0,17,0,2,0,0,0,0,8,167,0,1,0,0,2,2,0,0,4,203,
30/04/2020,8,0,14,0,2,0,0,0,0,7,177,0,1,0,0,2,2,0,0,4,209,
01/05/2020,7,0,13,0,2,0,0,0,0,7,167,0,1,0,0,0,2,0,0,4,196,
02/05/2020,7,0,15,0,2,0,0,0,0,7,164,0,1,0,0,0,2,0,0,4,195,
03/05/2020,7,0,15,0,2,0,0,0,0,7,165,0,1,0,0,0,1,0,0,5,196,
04/05/2020,7,0,17,0,2,0,0,0,0,7,160,0,1,0,0,0,1,0,0,5,193,
05/05/2020,6,0,18,0,3,0,0,0,0,8,143,0,1,0,0,0,0,0,0,12,185,
06/05/2020,6,0,18,0,3,0,0,0,0,6,130,0,1,0,0,0,0,0,0,12,170,
07/05/2020,7,0,18,0,2,0,0,0,0,7,134,0,1,1,0,0,0,0,0,12,175,
08/05/2020,7,0,18,0,2,0,0,0,0,10,126,0,1,1,0,0,0,0,0,12,170,
09/05/2020,7,0,18,0,2,0,0,0,0,10,127,0,1,1,0,0,0,0,0,12,171,
10/05/2020,8,0,19,0,2,0,0,0,0,10,124,0,1,1,0,0,2,0,0,12,171,
11/05/2020,8,0,20,0,2,0,0,0,0,13,119,0,1,1,0,0,2,0,0,11,169,
12/05/2020,8,0,18,0,2,0,0,0,0,9,121,0,1,2,0,0,2,0,0,11,166,
13/05/2020,8,0,15,0,2,0,0,0,0,10,115,0,1,2,0,0,2,0,0,8,155,
14/05/2020,8,0,16,0,2,0,0,0,0,12,115,0,1,2,0,0,2,0,0,8,158,
15/05/2020,8,0,15,0,2,0,0,0,0,13,117,0,1,2,0,0,2,0,0,8,160,
16/05/2020,8,0,15,0,2,0,0,0,0,13,113,0,1,2,0,0,2,0,0,8,156,
17/05/2020,8,0,15,0,2,0,0,0,0,13,107,0,1,2,0,0,2,0,0,8,150,
18/05/2020,8,0,15,0,2,0,0,0,0,14,104,0,1,2,0,0,2,0,0,8,148,
19/05/2020,7,0,16,0,2,0,0,0,0,13,103,0,1,2,0,0,2,0,0,0,139,
20/05/2020,8,1,16,0,2,0,0,0,0,12,102,0,1,2,0,0,2,0,0,0,138,
21/05/2020,8,2,15,0,2,0,0,0,0,10,99,0,1,4,0,0,2,0,0,0,135,
22/05/2020,8,2,15,0,1,0,0,0,0,9,95,0,1,5,0,0,2,0,0,0,130,
23/05/2020,8,2,15,0,1,0,0,0,0,7,86,0,1,12,0,0,2,0,0,0,126,
24/05/2020,8,2,15,0,1,0,0,0,0,6,91,0,1,12,0,0,1,0,0,0,129,
25/05/2020,6,2,15,0,0,0,0,0,0,5,84,0,1,29,0,0,0,0,0,0,136,
26/05/2020,6,2,14,0,0,0,0,0,0,4,78,0,1,30,0,0,0,0,0,0,129,
27/05/2020,7,2,12,0,0,0,0,0,0,1,76,0,1,38,0,0,1,0,0,0,131,
28/05/2020,7,2,11,1,0,0,0,0,0,1,79,0,0,40,0,0,1,0,0,0,135,
29/05/2020,8,2,11,1,0,0,0,0,0,1,55,0,0,42,0,1,1,0,0,0,114,
30/05/2020,8,3,11,1,0,0,0,0,0,1,54,0,0,45,0,1,1,0,0,0,117,
31/05/2020,8,3,11,1,0,0,0,0,0,1,52,0,0,46,0,1,1,0,0,0,116,
01/06/2020,8,3,10,1,0,0,0,0,0,1,48,0,0,48,0,1,1,0,0,0,113,
02/06/2020,8,3,10,1,0,0,0,0,0,0,47,0,0,48,1,1,1,0,0,0,112,
03/06/2020,8,3,11,1,0,0,0,0,0,0,44,0,0,45,1,1,1,0,0,0,107,
04/06/2020,9,2,9,1,0,0,1,0,0,0,42,0,0,42,1,1,1,0,0,0,100,
05/06/2020,9,2,8,1,0,0,1,0,0,0,35,0,0,40,1,1,1,0,0,0,90,
06/06/2020,11,2,10,1,3,0,1,0,0,0,36,0,1,39,1,1,1,0,0,0,96,
07/06/2020,11,2,10,1,3,0,1,0,0,0,32,0,1,39,1,1,1,0,0,0,92,
08/06/2020,11,1,10,1,3,0,1,0,0,0,31,0,1,33,1,1,1,0,0,0,84,
09/06/2020,10,0,9,1,3,0,1,0,0,0,26,0,1,25,1,1,1,0,0,0,69,
10/06/2020,9,0,10,0,3,0,1,0,0,0,24,0,1,24,1,1,1,0,0,0,66,
11/06/2020,8,0,9,0,3,0,1,0,0,0,20,0,1,16,1,1,0,0,0,0,52,
12/06/2020,8,0,7,0,3,0,1,0,0,0,17,0,1,13,1,1,0,0,0,0,44,
13/06/2020,8,0,7,0,3,0,1,0,0,0,15,0,1,11,1,1,0,0,0,0,40,
14/06/2020,8,0,6,0,3,0,1,0,0,0,14,0,1,10,1,1,0,0,0,0,37,
15/06/2020,9,0,6,0,3,0,1,0,0,0,12,0,1,7,1,1,0,0,1,0,33,
16/06/2020,8,0,4,0,2,0,1,0,0,0,10,0,1,4,0,1,0,0,1,0,24,
17/06/2020,8,0,4,0,2,0,1,0,0,0,4,0,1,1,0,1,0,0,1,0,15,
18/06/2020,7,0,4,0,1,0,0,0,0,0,3,0,1,1,0,1,0,0,1,0,12,
19/06/2020,9,0,4,0,1,0,0,0,0,0,3,0,1,2,0,1,1,0,1,1,15,
20/06/2020,8,0,4,0,1,0,0,0,0,0,2,0,0,2,0,1,1,0,2,6,19,
21/06/2020,8,0,6,0,1,0,0,0,0,0,6,0,0,2,0,1,1,0,2,18,37,
22/06/2020,7,0,6,0,0,0,0,0,0,0,6,0,0,2,0,1,1,0,2,24,42,
23/06/2020,7,0,6,0,0,0,0,0,0,0,7,0,0,2,0,1,1,0,2,26,45,
24/06/2020,7,0,6,0,0,0,0,0,0,0,7,0,0,1,0,1,1,0,2,43,61,
25/06/2020,7,0,6,0,0,0,0,0,0,0,7,0,0,1,0,1,1,0,2,45,63,
26/06/2020,7,0,7,0,0,0,0,0,0,0,9,0,0,1,0,1,1,0,2,54,75,
27/06/2020,7,0,7,0,0,0,0,0,0,0,9,0,0,1,0,1,1,0,2,59,80,
